#Node Number,Latitude,Longitude,Technology,Capacity
n74,43.8887864,-89.6774639,tA4,250000
n78,45.4788,-91.834341,tA3,150000
n79,45.4095924,-92.0364009,tD1,30000
n80,45.330174,-91.543636,tA2,50000
n83,44.272017,-87.971349,tA3,150000
n85,44.540205,-87.789123,tA4,250000
n88,44.6643522,-88.1507888,tD1,30000
n92,44.409054,-87.904771,tD2,50000
n95,44.334034,-88.168628,tA4,250000
n98,44.2994683,-88.110763,tA4,250000
n103,45.762307,-92.6310929,tD1,30000
n104,44.1067411,-88.0533203,tA3,150000
n105,44.2267152,-88.1466866,tA2,50000
n106,44.097001,-88.147437,tA4,250000
n110,44.203572,-88.106757,tD1,30000
n112,44.235045,-88.06098,tA3,150000
n113,44.9659247,-90.9746861,tD1,30000
n114,44.901922,-91.497807,tA2,50000
n115,45.0032736,-90.3526429,tA1,30000
n116,44.8511138,-90.2347974,tA3,150000
n118,44.7573292,-90.2591344,tA2,50000
n121,44.5239,-90.7487243,tA1,30000
n122,45.0173606,-90.3556863,tA2,50000
n123,42.7889219,-89.8135536,tD3,150000
n124,44.6407302,-90.3771428,tD3,150000
n127,43.2627427,-89.4217487,tA3,150000
n133,43.1612969,-89.1700655,tD4,250000
n134,43.1255927,-89.5511386,tD3,150000
n137,43.574064,-88.450539,tD4,250000
n138,43.2343009,-88.966056,tA2,50000
n140,43.5123201,-88.7754202,tA2,50000
n141,43.3984461,-88.6812317,tA2,50000
n142,44.7366839,-87.5027549,tA3,150000
n144,45.1470211,-91.6660948,tA1,30000
n145,44.8923943,-91.6597361,tD1,30000
n146,45.0086159,-91.7608218,tA1,30000
n149,43.6921456,-88.3624164,tA3,150000
n152,43.6688948,-88.8654615,tA1,30000
n153,43.9068922,-88.2924711,tA3,150000
n158,43.867771,-88.717945,tA4,250000
n159,43.862695,-88.521648,tA2,50000
n162,42.9348801,-91.090403,tA2,50000
n163,42.6796252,-90.5831146,tA1,30000
n164,42.864588,-90.6961853,tA1,30000
n165,43.0065857,-90.602897,tD1,30000
n166,43.7013946,-89.051151,tD2,50000
n168,43.634875,-89.004734,tA1,30000
n171,42.6461277,-89.3870026,tA2,50000
n174,44.2238278,-91.0851155,tD1,30000
n176,44.4365416,-90.9365416,tA1,30000
n177,44.1261241,-90.9966341,tD1,30000
n179,42.973292,-88.775482,tD2,50000
n180,42.868704,-88.868785,tD1,30000
n181,43.1365455,-88.7221335,tD1,30000
n182,43.1630746,-88.574255,tD2,50000
n183,44.2212573,-89.9558671,tA2,50000
n185,44.6124135,-87.7630852,tA2,50000
n187,44.3673969,-87.665803,tA3,150000
n188,44.6183421,-87.5815229,tA3,150000
n192,44.616287,-87.63395,tA4,250000
n193,44.4997104,-87.5955881,tA4,250000
n199,42.6328185,-89.946068,tD2,50000
n201,42.7853435,-90.2565166,tA2,50000
n202,42.5688955,-89.8798448,tA1,30000
n203,42.6533571,-90.2918458,tA3,150000
n204,45.2609184,-89.1320129,tD2,50000
n207,44.115082,-87.879446,tA1,30000
n209,44.090497,-87.870988,tA2,50000
n214,44.196495,-87.8321809,tA2,50000
n215,43.9505879,-87.7465309,tA4,250000
n218,43.922701,-87.868523,tA4,250000
n220,44.256712,-87.525264,tA2,50000
n221,44.138624,-87.741411,tD1,30000
n224,44.9580832,-89.767959,tD2,50000
n226,44.901323,-89.958202,tD2,50000
n228,44.8009709,-90.170057,tA1,30000
n229,45.032389,-90.121009,tA2,50000
n230,44.844099,-89.26493,tD1,30000
n231,45.0330639,-90.04741,tD2,50000
